verse	form	lemma	gold_case_num_gender	class	kosha_analyses
5.17	jñāna-nirdhūta-kalmaṣāḥ	jñāna-nirdhūta-kalmaṣa	nom/pl/m	GAP	
5.18	vidyā-vinaya-saṁpanne	vidyā-vinaya-saṁpanna	loc/sg/m	GAP	
5.18	śuni	śvan	loc/sg/m	DIVERGE	voc.sg.f
5.21	asaktātmā	asakta-ātman	nom/sg/m	GAP	
5.21	brahma-yoga-yuktātmā	brahma-yoga-yuktātman	nom/sg/m	GAP	
5.23	kāma-krodhodbhavam	kāma-krodha-udbhava	acc/sg/m	GAP	
5.26	kāma-krodha-viyuktānām	kāma-krodha-viyukta	gen/pl/m	GAP	
5.26	viditātmanām	vidita-ātman	gen/pl/m	GAP	
5.27	bhruvoḥ	bhrū	gen/du/f	GAP	
5.27	nāsābhyantara-cāriṇau	nāsā-abhy-antara-cārin	acc/du/m	GAP	
5.28	yatendriya-mano-buddhiḥ	yata-indriya-mano-buddhi	nom/sg/m	GAP	
5.28	mokṣa-parāyaṇaḥ	mokṣa-parāyaṇa	nom/pl/m	DIVERGE	nom.sg.m
5.28	vigatecchā-bhaya-krodhaḥ	vigata-icchā-bhaya-krodha	nom/sg/m	GAP	
5.29	yajña-tapasām	yajña-tapas	gen/pl/n	GAP	
6.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
6.02	asaṁnyasta-saṁkalpaḥ	a-saṁnyasta-saṁkalpa	nom/sg/m	GAP	
6.04	sarva-saṁkalpa-saṁnyāsī	sarva-saṁkalpa-saṁnyāsin	nom/sg/m	GAP	
6.07	śītoṣṇa-sukha-duḥkheṣu	śīta-uṣṇa-sukha-duḥkha	loc/pl/n	GAP	
6.07	mānāvamānayoḥ	māna-avamāna	loc/du/m	GAP	
6.08	jñāna-vijñāna-tṛptātmā	jñāna-vijñāna-tṛpta-ātman	nom/sg/m	GAP	
6.09	suhṛn-mitrāry-udāsīna-madhyastha-dveṣya-bandhuṣu	suhṛn-mitra-ary-udāsīna-madhya-stha-dveṣya-bandhu	loc/pl/m	GAP	
6.10	nirāśīḥ	nir-āśis	nom/sg/m	GAP	
6.11	cailājina-kuśottaram	caila-ajina-kuśa-uttara	acc/sg/n	GAP	
6.12	yata-cittendriya-kriyaḥ	yata-citta-indriya-kriya	nom/sg/m	GAP	
6.12	ātma-viśuddhaye	ātma-viśuddhi	dat/sg/f	GAP	
6.13	kāya-śiro-grīvam	kāya-śiro-grīva	acc/sg/n	GAP	
6.13	dhārayan	dhārayant	nom/sg/m	GAP	
6.13	anavalokayan	an-ava-lokayant	nom/sg/m	GAP	
6.14	vigatabhīḥ	vigata-bhī	nom/sg/m	GAP	
6.14	brahmacāri-vrate	brahmacāri-vrata	loc/sg/n	GAP	
6.15	yuñjan	yuñjant	nom/sg/	GAP	
6.15	nirvāṇa-paramām	nirvāṇa-paramā	acc/sg/f	GAP	
6.16	aty-aśnataḥ	ati-aśnant	gen/sg/m	GAP	
6.16	anaśnataḥ	an-aśnant	gen/sg/m	GAP	
6.16	ati-svapna-śīlasya	ati-svapna-śīlasya	gen/sg/m	GAP	
6.16	jāgrataḥ	jāgrata	nom/sg/m	GAP	
6.19	nivāta-sthaḥ	nivāta-stha	nom/sg/m	GAP	
6.19	yata-cittasya	yata-citta	gen/sg/m	GAP	
6.19	yuñjataḥ	yuñjant	gen/sg/	GAP	
6.20	paśyan	paśyant	nom/sg/m	GAP	
6.21	atīndriyam	ati-indriya	nom/du/n	DIVERGE	acc.sg.m;acc.sg.n;nom.sg.n
6.23	duḥkha-saṁyoga-viyogam	duḥkha-saṁyoga-viyoga	acc/sg/m	GAP	
6.23	yoga-saṁjñitam	yoga-saṁjñita	acc/sg/m	GAP	
6.23	anirviṇṇa-cetasā	a-nirviṇṇa-cetas	instr/sg/m	GAP	
6.27	praśānta-manasam	praśānta-manas	nom/sg/m	GAP	
6.28	yuñjan	yuñjant	nom/sg/	GAP	
6.28	brahma-saṁsparśam	brahma-saṁsparśa	acc/sg/n	GAP	
6.29	yoga-yuktātmā	yoga-yuktātman	nom/sg/m	GAP	
6.34	suduṣkaram	su-duṣ-kara	instr/sg/m	DIVERGE	acc.sg.m;acc.sg.n;nom.sg.n
6.35	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
6.36	yatatā	yatant	instr/sg/m	GAP	
6.37	calita-mānasaḥ	calita-mānasa	nom/sg/m	GAP	
6.38	ubhaya-vibhraṣṭaḥ	ubhaya-vibhraṣṭa	nom/sg/m	GAP	
6.38	pathi	pathin	loc/sg/n	GAP	
6.40	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
6.41	puṇya-kṛtān	puṇya-kṛta	acc/pl/m	GAP	
6.42	durlabhataram	dur-labha-tara	nom/sg/n	GAP	
6.43	buddhi-saṁyogam	buddhi-saṁyoga	acc/sg/m	GAP	
6.45	yatamānaḥ	yatamāna	nom/sg/m	GAP	
6.45	aneka-janma-saṁsiddhaḥ	aneka-janma-saṁsiddha	nom/sg/m	GAP	
6.47	mad-gatena	mad-gata	instr/sg/m	GAP	
7.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
7.01	yuñjan	yuñjant	nom/sg/m	GAP	
7.01	mad-āśrayaḥ	mad-āśraya	nom/sg/m	GAP	
7.01	samagram	samagra	nom/du/m	DIVERGE	acc.sg.m;acc.sg.n;nom.sg.n
7.03	yatatām	yatant	gen/pl/m	DIVERGE	None.du.None;None.sg.None
7.04	āpaḥ	ap	nom/pl/f	DIVERGE	acc.sg.n;nom.sg.m;nom.sg.n;voc.sg.n
7.08	prabhā	pra-bhā	nom/sg/f	GAP	
7.08	śaśi-sūryayoḥ	śaśi-sūrya	gen/du/m	GAP	
7.11	kāma-rāga-vivarjitam	kāma-rāga-vivarjita	nom/sg/n	GAP	
7.11	dharmāviruddhaḥ	dharma-aviruddha	nom/sg/m	GAP	
7.13	tribhiḥ	tri	instr/pl/m	GAP	
7.14	guṇa-mayī	guṇa-mayī	nom/sg/f	GAP	
7.15	mūḍhāḥ	mūḍha	nom/sg/m	DIVERGE	acc.pl.f;nom.pl.f;nom.pl.m;voc.pl.f;voc.pl.m
7.15	apahṛta-jñānāḥ	apahṛta-jñāna	nom/pl/m	GAP	
7.19	mahātmā	mahā-ātman	nom/sg/m	GAP	
7.23	deva-yajaḥ	deva-yaj	nom/pl/m	GAP	
7.24	ajānantaḥ	a-jānant	nom/pl/m	GAP	
7.25	yoga-māyā-samāvṛtaḥ	yoga-māyā-samāvṛta	nom/sg/m	GAP	
7.27	icchā-dveṣa-samutthena	icchā-dveṣa-samuttha	instr/sg/m	GAP	
7.27	saṁmoham	saṁ-moha	acc/sg/m	GAP	
7.28	dvaṁdva-moha-nirmuktāḥ	dvaṁdva-moha-nirmukta	nom/pl/m	GAP	
7.29	jarā-maraṇa-mokṣāya	jarā-maraṇa-mokṣa	dat/sg/m	GAP	
7.30	yukta-cetasaḥ	yukta-cetas	nom/pl/m	GAP	
8.03	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
8.03	bhūta-bhāvodbhava-karaḥ	bhūta-bhāva-udbhava-kara	nom/sg/m	GAP	
8.03	karma-saṁjñitaḥ	karma-saṁjñita	nom/sg/m	GAP	
8.05	smaran	smarant	nom/sg/m	GAP	
8.06	smaran	smarant	nom/sg/m	GAP	
8.06	tad-bhāva-bhāvitaḥ	tad-bhāva-bhāvita	nom/sg/m	GAP	
8.07	arpita-mano-buddhiḥ	arpita-mano-buddhi	nom/sg/m	GAP	
8.08	abhyāsa-yoga-yuktena	abhyāsa-yoga-yukta	instr/sg/n	GAP	
8.08	anucintayan	anu-cintayant	nom/sg/m	GAP	
8.09	aṇīyāṁsam	aṇīyas	acc/sg/m	GAP	
8.10	bhruvoḥ	bhrū	gen/du/f	GAP	
8.11	icchantaḥ	icchant	nom/pl/m	GAP	
8.12	sarva-dvārāṇi	sarva-dvāra	acc/pl/n	GAP	
8.13	vyāharan	vy-ā-harant	nom/sg/m	GAP	
8.13	anusmaran	anusmarant	nom/sg/m	GAP	
8.13	tyajan	tyajant	nom/sg/	GAP	
8.15	duḥkhālayam	duḥkha-ālaya	acc/sg/n	GAP	
8.15	mahātmānaḥ	mahā-ātman	nom/pl/m	GAP	
8.16	ā-brahma-bhuvanāt	ā-brahma-bhuvana	abl/sg/n	GAP	
8.17	sahasra-yuga-paryantam	sahasra-yuga-paryanta	acc/sg/m	GAP	
8.17	ahaḥ	ahar	acc/sg/n	DIVERGE	nom.sg.m
8.17	yuga-sahasrāntām	yuga-sahasra-antā	acc/sg/f	GAP	
8.17	aho-rātra-vidaḥ	aho-rātra-vit	nom/pl/m	GAP	
8.18	avyakta-saṁjñake	avyakta-saṁjñaka	loc/sg/m	GAP	
8.20	naśyatsu	naśyant	loc/pl/m	GAP	
8.27	jānan	jānant	nom/sg/m	GAP	
9.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
9.01	guhyatamam	guhyatama	acc/sg/n	GAP	
9.01	vijñāna-sahitam	vijñāna-sahita	acc/sg/n	GAP	
9.03	mṛtyu-saṁsāra-vartmani	mṛtyu-saṁsāra-vartman	loc/sg/n	GAP	
9.04	jagat	jagat	gen/sg/n	DIVERGE	acc.sg.n;nom.sg.f;nom.sg.m;nom.sg.n;voc.sg.f;voc.sg.m
9.04	mat-sthāni	mat-stha	nom/pl/n	GAP	
9.05	mat-sthāni	mat-stha	nom/pl/n	GAP	
9.05	bhūta-sthaḥ	bhūta-stha	acc/sg/m	DIVERGE	nom.sg.m
9.06	ākāśa-sthitaḥ	ākāśa-sthita	nom/sg/m	GAP	
9.06	mahān	mahant	nom/sg/m	DIVERGE	acc.pl.m
9.06	mat-sthāni	mat-stha	nom/pl/n	GAP	
9.07	māmikām	māmikā	acc/sg/f	GAP	
9.11	ajānantah	a-jānant	nom/pl/m	GAP	
9.13	mahātmānaḥ	mahā-ātman	nom/pl/m	GAP	
9.14	kīrtayantaḥ	kīrtayant	nom/pl/m	GAP	
9.14	yatantaḥ	yatant	nom/pl/m	GAP	
9.14	namasyantaḥ	namasyant	nom/pl/m	GAP	
9.15	yajantaḥ	yajant	nom/pl/	DIVERGE	nom.sg.m
9.16	mantrah	mantra	nom/sg/m	GAP	
9.19	asat	a-sant	nom/sg/n	GAP	
9.20	divi	div	loc/sg/f	DIVERGE	voc.sg.f
9.21	gatāgataṁ	gata-āgata	acc/sg/n	GAP	
9.22	cintayantaḥ	cintayant	nom/pl/m	GAP	
9.22	nityābhiyuktānām	nitya-abhi-yukta	gen/pl/m	GAP	
9.23	anya-devatā-bhaktāḥ	anya-devatā-bhakta	nom/pl/m	GAP	
9.25	mad-yājinaḥ	mad-yājin	nom/pl/m	GAP	
9.26	patram	patra	acc/sg/n	GAP	
9.26	bhakty-upahṛtam	bhakty-upahṛta	acc/sg/n	GAP	
9.27	mad-arpaṇam	mad-arpaṇa	nom/sg/n	GAP	
9.28	saṁnyāsa-yoga-yuktātmā	saṁnyāsa-yoga-yukta-ātman	nom/sg/m	GAP	
9.30	ananya-bhāk	an-anya-bhaj	nom/sg/m	GAP	
9.32	striyaḥ	strī	nom/pl/f	GAP	
9.34	man-manāḥ	man-manas	nom/sg/m	DIVERGE	nom.pl.m;voc.pl.m
9.34	mad-yājī	mad-yājin	nom/sg/m	GAP	
9.34	mat-parāyaṇaḥ	mat-parāyaṇa	nom/pl/m	DIVERGE	nom.sg.m
10.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
10.01	prīyamāṇāya	prīyamāṇa	dat/sg/m	GAP	
10.03	sarva-pāpaiḥ	sarva-pāpa	instr/pl/n	GAP	
10.06	sapta	sapta	nom/pl/m	DIVERGE	voc.sg.m;voc.sg.n
10.06	catvāraḥ	catur	nom/pl/m	GAP	
10.07	avikampena	a-vikampa	instr/sg/m	GAP	
10.09	mad-gata-prāṇāḥ	mad-gata-prāṇa	nom/pl/m	GAP	
10.09	bodhayantaḥ	bodhayant	nom/pl/	GAP	
10.09	kathayantaḥ	kathayant	nom/pl/	GAP	
10.10	bhajatām	bhajant	gen/pl/	DIVERGE	None.du.None;None.sg.None
10.11	ajñāna-jam	ajñāna-ja	acc/sg/n	GAP	
10.11	ātma-bhāva-sthaḥ	ātma-bhāva-stha	nom/sg/m	GAP	
10.16	ātma-vibhūtayaḥ	ātma-vibhūti	nom/pl/f	GAP	
10.17	paricintayan	pari-cintayant	nom/sg/m	GAP	
10.18	śṛṇvataḥ	śṛṇvant	gen/sg/m	GAP	
