card	lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	md_sense_ids	md_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_eligible	population_share	synthetic
C043	antareRa	antareRa#1	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:3309:9	in Bezug auf, wegen							skd:1246:1	antareṇa , vya (antareti antara + iṇa + ṇaḥ tasya netvaṃ pṛṣodarāditvāt .) madhyaṃ . vinā . vyati- rekaḥ . ityamaraḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C044	mudrA	mudrA#6	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:60994:2	Siegelring, Siegel; das Petschaft; der Abdruck; ein Siegel auflegen; Type, Holztype							skd:27595:1	mudrā , strī, (modate anayeti . mud + sphāyi- tañcītyādi . uṇā0 2 . 13 . iti rak ataḥ ṭāp .) pratyayakāriṇī .. iti trikāṇḍa- śeṣaḥ . nāmera mohara iti bhāṣā .. aṅguli- mudrā . iti śabdaratnāvalī .. chāpera āṅguṭī iti bhāṣā . svarṇaraupyādimudrikā ca . (yathā, abhijñ…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C045	rADa	rADa#2	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:84434:13	β〉 einer Hirtin, die als Geliebte Kṛṣṇa ʼs später göttlich verehrt wurde, . . . . . . . . . (mit Dākṣāyaṇī identificirt). . . u. s. w. . . . _in_ . . . m. Bein. Kṛṣṇa ʼs _im_ m. desgl. . ( vgl. ). und desgl							skd:29554:1	rādha , na au ya siddhau . iti kavikalpadrumaḥ .. (svā0-divā0-ca-para0-svādipakṣe saka0-divā- dipakṣe aka0-aniṭ .) rephādiḥ . na, rādhnoti . ya, rādhyati . au, arātsīt . siddhiriha svādipakṣe niṣpādanā . divādipakṣe niṣpattiḥ . annaṃ rādhnoti viprāṇāṃ ya iti halāyudhaḥ …			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C046	skanda	skanda#1	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:113426:8	Fürst							skd:40378:1	skanda , ir aura śoṣaṇe . gatyām . iti kavikalpa- drumaḥ .. (bhvā0-para0-saka0-aniṭ .) ir, askadat . askāṃtsīt . au, skantā caskanda . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C047	viSeza	viSeza#1	aligned	1-1-1-0-0-0	gloss+ls	0.500	susr			pwg:93315:6	Unterschied in Beziehung auf das Befinden: Milderung, Erleichterung	mw:200611:1	(in medicine) a favourable turn or crisis of a sickness	ap90:26548:8	4 A favourable turn or crisis in sickness, a change for the better; ‘I feel better’							shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|non-skd	3203	0.471237	no
C048	sa	sa#10	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:102725:1	4. 1〉 m. = und _im_ = = _im_ nach Abkürzung von (warum nicht ?)							skd:37124:1	sa , dantyasakāraḥ . sa tu vyañjanadvātriṃśavarṇaḥ . asyoccāraṇasthānaṃ dantaḥ . iti vyākaraṇam .. (tathāca śikṣāyām . 17 . syurmūrddhanyā ṛṭuraṣā dantyā ḷtulasāḥ smṛtāḥ .. ) tatsvarūpaṃ yathā, sakāraṃ śṛṇu cārvvaṅgi śaktivījaṃ parātparam . koṭividyullatākāraṃ ku…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C049	kIla	kIla#2	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:17389:6	ein Stoss mit dem Ellbogen; ein Stoss beim coitus							skd:7811:1	kīla , bandhe . iti kavikalpadrumaḥ .. (bhvāṃ paraṃ sakaṃ seṭ .) caturthasvarī . kīlati . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C050	padmAvatI	padmAvatI#8	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:42193:2	Hibiscus mutabilis Lin. ( ) _im_							skd:20258:1	padmāvatī , strī, (padma + astyarthe matup masya vatvam . saṃjñāyāṃ dīrghaḥ .) manasādevī . nadīviśeṣaḥ . padmā iti khyātā . iti śabdaratnāvalī .. padmacāriṇī . iti jaṭādharaḥ .. jayadevapatnī . yathā, jayati padmāvatīramaṇajayadeva- kavibhāratībhaṇitamatiśātam . it…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|skd	18	0.002648	no
C051	SaWa	SaWa#4	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:97406:11	Eisen							skd:34795:1	śaṭha , ka ālasye . gatyasaṃskṛtasaṃskṛte . iti kavi- kalpadrumaḥ .. (curā0-para0-aka0-seṭ .) ka, śāṭhayati vṛddhaḥ kriyāsu mandaḥ syādityarthaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C052	aja	aja#8	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:873:13	Māyā , als erste Śakti , _im_ ; vgl. _zu_							skd:461:1	aja ika bhāsi (aji dīptau curā iditvānnum .) iti kavikalpadrumaḥ .. ika añjayati . bhāsi doptau . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
