lemma_slp1	varga	eid	mw_sense_units	pwg_sense_units
indra	AK-1.1	87	17	3
marutvat	AK-1.1	87	7	0
maGavan	AK-1.1	87	5	1
biqOjas	AK-1.1	87	0	1
pAkaSAsana	AK-1.1	87	1	1
vfdDaSravas	AK-1.1	87	3	1
sunAsIra	AK-1.1	87	2	1
puruhUta	AK-1.1	87	2	1
purandara	AK-1.1	87	0	0
jizRu	AK-1.1	87	12	1
leKarzaBa	AK-1.1	87	1	1
Sakra	AK-1.1	87	6	1
Satamanyu	AK-1.1	87	5	1
divaspati	AK-1.1	87	2	2
sutrAman	AK-1.1	87	4	1
gotraBid	AK-1.1	87	4	1
vajrin	AK-1.1	87	5	1
vAsava	AK-1.1	87	9	1
vftrahan	AK-1.1	87	1	1
vfzan	AK-1.1	87	7	3
vAstozpati	AK-1.1	87	3	1
surapati	AK-1.1	87	2	1
balArAti	AK-1.1	87	1	0
SacIpati	AK-1.1	87	2	1
jamBaBedin	AK-1.1	87	1	1
harihaya	AK-1.1	87	5	2
svArAj	AK-1.1	87	3	1
namucisUdana	AK-1.1	87	1	0
saNkrandana	AK-1.1	87	0	0
duScyavana	AK-1.1	87	2	2
turAzA	AK-1.1	87	0	0
meGavAhana	AK-1.1	87	4	1
AKaRqala	AK-1.1	87	5	2
sahasrAkza	AK-1.1	87	12	1
fBukzin	AK-1.1	87	4	0
pulomajA	AK-1.1	88	1	0
SacI	AK-1.1	88	8	1
indrARI	AK-1.1	88	6	2
amarAvatI	AK-1.1	89	2	1
uccEHSravas	AK-1.1	90	1	1
mAtali	AK-1.1	91	1	1
nandana	AK-1.1	92	17	3
vEjayanta	AK-1.1	93	9	1
jayanta	AK-1.1	94	17	2
pAkaSAsani	AK-1.1	94	2	1
ErAvata	AK-1.1	95	12	2
aBramAtaNga	AK-1.1	95	1	1
ErAvaRa	AK-1.1	95	2	1
aBramuvallaBa	AK-1.1	95	1	1
hrAdinI	AK-1.1	96	4	0
vajra	AK-1.1	96	35	1
kuliSa	AK-1.1	96	5	2
Bidura	AK-1.1	96	5	3
pavi	AK-1.1	96	6	1
Satakowi	AK-1.1	96	5	1
svaru	AK-1.1	96	6	1
Samba	AK-1.1	96	9	1
damBoli	AK-1.1	96	6	2
