chain_id	step_index	source	sutra_code	step_result
ch0001178	6	Ashtadhyayi	3.4.78	sTA tas
ch0001178	7	Ashtadhyayi	1.3.4	sTA tas
ch0001178	8	Ashtadhyayi	3.4.113	sTA tas
ch0001178	9	Ashtadhyayi	3.1.68	sTA Sap tas
ch0001178	10	Ashtadhyayi	1.3.3	sTA Sap tas
ch0001178	11	Ashtadhyayi	1.3.8	sTA Sap tas
ch0001178	12	Ashtadhyayi	1.3.9	sTA a tas
ch0001178	13	Ashtadhyayi	3.4.113	sTA a tas
ch0001178	14	Ashtadhyayi	3.4.101	sTA a tAm
ch0001178	15	Ashtadhyayi	1.3.4	sTA a tAm
ch0001178	16	Ashtadhyayi	1.2.4	sTA a tAm
ch0001178	17	Ashtadhyayi	1.4.13	sTA a tAm
ch0001178	18	Ashtadhyayi	7.3.78	tizWa a tAm
ch0001178	19	Ashtadhyayi	6.4.71	aw tizWa a tAm
ch0001178	20	Ashtadhyayi	1.3.3	aw tizWa a tAm
ch0001178	21	Ashtadhyayi	1.3.9	a tizWa a tAm
ch0001178	22	Ashtadhyayi	1.4.14	a tizWa a tAm
ch0001178	23	Ashtadhyayi	6.1.97	a tizW a tAm
ch0001178	24	Ashtadhyayi	8.4.68	a tizW a tAm
ch0001179	0	Ashtadhyayi	1.3.1	zWA\
ch0001179	1	Varttika	6.1.64.2	sTA
ch0001179	2	Ashtadhyayi	3.3.161	sTA li~N
ch0001179	3	Ashtadhyayi	1.3.2	sTA li~N
ch0001179	4	Ashtadhyayi	1.3.3	sTA li~N
ch0001179	5	Ashtadhyayi	1.3.9	sTA l
ch0001179	6	Ashtadhyayi	1.3.23	sTA l
ch0001179	7	Ashtadhyayi	3.4.78	sTA TAs
ch0001179	8	Ashtadhyayi	1.3.4	sTA TAs
ch0001179	9	Ashtadhyayi	3.4.113	sTA TAs
ch0001179	10	Ashtadhyayi	3.1.68	sTA Sap TAs
ch0001179	11	Ashtadhyayi	1.3.3	sTA Sap TAs
ch0001179	12	Ashtadhyayi	1.3.8	sTA Sap TAs
ch0001179	13	Ashtadhyayi	1.3.9	sTA a TAs
ch0001179	14	Ashtadhyayi	3.4.113	sTA a TAs
ch0001179	15	Ashtadhyayi	3.4.102	sTA a sIyu~w TAs
ch0001179	16	Ashtadhyayi	1.3.2	sTA a sIyu~w TAs
ch0001179	17	Ashtadhyayi	1.3.3	sTA a sIyu~w TAs
ch0001179	18	Ashtadhyayi	1.3.9	sTA a sIy TAs
ch0001179	19	Ashtadhyayi	3.4.107	sTA a sIy sTAs
ch0001179	20	Ashtadhyayi	1.2.4	sTA a sIy sTAs
ch0001179	21	Ashtadhyayi	1.4.13	sTA a sIy sTAs
ch0001179	22	Ashtadhyayi	7.3.78	tizWa a sIy sTAs
ch0001179	23	Ashtadhyayi	7.2.79	tizWa a Iy TAs
ch0001179	24	Ashtadhyayi	6.1.66	tizWa a I TAs
ch0001179	25	Ashtadhyayi	1.4.14	tizWa a I TAs
ch0001179	26	Ashtadhyayi	6.1.97	tizW a I TAs
ch0001179	27	Ashtadhyayi	6.1.87	tizW  e TAs
ch0001179	28	Ashtadhyayi	8.2.66	tizW  e TAru~
ch0001179	29	Ashtadhyayi	1.3.2	tizW  e TAr
ch0001179	30	Ashtadhyayi	8.3.15	tizW  e TAH
ch0001180	0	Ashtadhyayi	1.3.1	zWA\
ch0001180	1	Varttika	6.1.64.2	sTA
ch0001180	2	Ashtadhyayi	3.2.111	sTA laN
ch0001180	3	Ashtadhyayi	1.3.3	sTA laN
ch0001180	4	Ashtadhyayi	1.3.9	sTA la
ch0001180	5	Ashtadhyayi	1.3.23	sTA la
ch0001180	6	Ashtadhyayi	3.4.78	sTA AtAm
ch0001180	7	Ashtadhyayi	1.3.4	sTA AtAm
ch0001180	8	Ashtadhyayi	3.4.113	sTA AtAm
ch0001180	9	Ashtadhyayi	3.1.68	sTA Sap AtAm
ch0001180	10	Ashtadhyayi	1.3.3	sTA Sap AtAm
ch0001180	11	Ashtadhyayi	1.3.8	sTA Sap AtAm
ch0001180	12	Ashtadhyayi	1.3.9	sTA a AtAm
ch0001180	13	Ashtadhyayi	3.4.113	sTA a AtAm
ch0001180	14	Ashtadhyayi	1.2.4	sTA a AtAm
ch0001180	15	Ashtadhyayi	1.4.13	sTA a AtAm
ch0001180	16	Ashtadhyayi	7.3.78	tizWa a AtAm
ch0001180	17	Ashtadhyayi	7.2.81	tizWa a iytAm
ch0001180	18	Ashtadhyayi	6.1.66	tizWa a itAm
ch0001180	19	Ashtadhyayi	6.4.71	aw tizWa a itAm
ch0001180	20	Ashtadhyayi	1.3.3	aw tizWa a itAm
ch0001180	21	Ashtadhyayi	1.3.9	a tizWa a itAm
ch0001180	22	Ashtadhyayi	1.4.14	a tizWa a itAm
ch0001180	23	Ashtadhyayi	6.1.97	a tizW a itAm
ch0001180	24	Ashtadhyayi	6.1.87	a tizW  etAm
ch0001180	25	Ashtadhyayi	8.4.68	a tizW  etAm
ch0001181	0	Ashtadhyayi	1.3.1	zWA\
ch0001181	1	Varttika	6.1.64.2	sTA
ch0001181	2	Ashtadhyayi	3.2.123	sTA la~w
ch0001181	3	Ashtadhyayi	1.3.2	sTA la~w
ch0001181	4	Ashtadhyayi	1.3.3	sTA la~w
ch0001181	5	Ashtadhyayi	1.3.9	sTA l
ch0001181	6	Ashtadhyayi	1.3.23	sTA l
ch0001181	7	Ashtadhyayi	3.4.78	sTA mahiN
ch0001181	8	Ashtadhyayi	1.3.3	sTA mahiN
ch0001181	9	Ashtadhyayi	1.3.9	sTA mahi
ch0001181	10	Ashtadhyayi	3.4.113	sTA mahi
ch0001181	11	Ashtadhyayi	3.1.68	sTA Sap mahi
ch0001181	12	Ashtadhyayi	1.3.3	sTA Sap mahi
ch0001181	13	Ashtadhyayi	1.3.8	sTA Sap mahi
ch0001181	14	Ashtadhyayi	1.3.9	sTA a mahi
ch0001181	15	Ashtadhyayi	3.4.113	sTA a mahi
ch0001181	16	Ashtadhyayi	3.4.79	sTA a mahe
ch0001181	17	Ashtadhyayi	1.2.4	sTA a mahe
ch0001181	18	Ashtadhyayi	1.4.13	sTA a mahe
ch0001181	19	Ashtadhyayi	7.3.78	tizWa a mahe
ch0001181	20	Ashtadhyayi	1.4.14	tizWa a mahe
ch0001181	21	Ashtadhyayi	7.3.101	tizWa A mahe
ch0001181	22	Ashtadhyayi	6.1.101	tizWA  mahe
