anchor_key_slp1	dcs_lemma_id	dcs_lemma_iast	tier	evidence_count
sarvaganDika	203592	sārvagandhika	relaxed	1
sarvaguRa	166845	sārvaguṇa	relaxed	2
sarvavinda	213103	sārvavinda	relaxed	1
sastara	176862	sāstara	relaxed	2
sasura	172152	sāsura	relaxed	3
sasyasaMvaraRa	166313	śasyasaṃvaraṇa	relaxed	2
sattattva	218042	ṣaṭtattva	relaxed	2
satyaDana	209709	satyadhanā	relaxed	1
satyanAma	172071	satyanāmā	relaxed	3
satyapa	215292	satyāpa	relaxed	1
satyasena	200474	satyasenā	relaxed	1
satyavrata	200473	satyavratā	relaxed	4
saviDI	173182	savidhi	relaxed	2
savitara	176438	savītara	relaxed	1
secana	209372	secanā	relaxed	1
segava	214540	segavā	relaxed	1
senAnI	222283	senāni	relaxed	5
senaka	219924	senāka	relaxed	1
seti	215398	śeti	relaxed	2
sfkka	212679	sṛkkā	relaxed	1
siYjinI	132593	śiñjinī	relaxed	1
sidDamata	169881	siddhāmata	relaxed	5
sidDida	204010	siddhidā	relaxed	4
sinIvAka	201877	śinīvāka	relaxed	1
sitAhvaya	210898	sitāhvayā	relaxed	1
sitAvarI	165866	śitāvarī	relaxed	1
smat	214783	smāt	relaxed	1
snigDapattra	168529	snigdhapattrā	relaxed	1
snih	215072	ṣṇih	relaxed	1
soQAy	158835	śodhay	relaxed	452
sodaka	221410	ṣoḍaka	relaxed	1
solika	167733	śolikā	relaxed	2
somArha	165777	somārhā	relaxed	1
sowA	201263	ṣoṭa	relaxed	43
srIvi	214380	srivi	relaxed	1
sraja	212719	srajā	relaxed	3
sruGnI	203054	śrughnī	relaxed	1
stena	170786	stenā	relaxed	2
suBAsa	218924	subhāṣa	relaxed	1
suDAma	209638	sudhāmā	relaxed	1
suKodBavA	169070	sukhodbhāvā	relaxed	1
sucetana	174858	sucetanā	relaxed	1
sucintA	199579	sucinta	relaxed	1
sudIkzA	174993	sudīkṣa	relaxed	1
sudyumna	209670	sudyumnā	relaxed	1
sugrIva	107167	sugrīvā	relaxed	3
suhata	167877	suhatā	relaxed	1
sujAtaka	174432	sujātakā	relaxed	1
sukaRWa	208298	sukaṇṭhā	relaxed	1
sukandaka	165798	sukāṇḍaka	relaxed	2
sukarRa	106681	sukarṇā	relaxed	1
sukumArIka	211768	sukumārikā	relaxed	13
sumAla	205108	sumala	relaxed	2
sumAla	209821	sumālā	relaxed	1
sunata	203248	śūnatā	relaxed	1
supayoDarA	176517	supayodhara	relaxed	1
surApa	208581	surapa	relaxed	1
suraBidAru	174790	surabhīdāru	relaxed	1
surakzita	214111	surakṣitā	relaxed	1
surapAla	216586	sūrapāla	relaxed	2
suratrARa	206167	suratrāṇā	relaxed	1
susUkzma	218342	susūkṣmā	relaxed	1
susaMhita	200475	susaṃhitā	relaxed	1
susutama	222783	suṣūtama	relaxed	3
sutantu	176424	sutantū	relaxed	1
suvarRamAkzika	176018	suvarṇamākṣīka	relaxed	2
suvarRapuzpa	98302	suvarṇapuṣpā	relaxed	2
suvarjikA	205829	suvarjika	relaxed	1
suvicitra	174900	suvicitrā	relaxed	1
suvistara	166128	suviṣṭarā	relaxed	1
suvita	209073	suvīta	relaxed	1
suyAti	214866	sūyati	relaxed	1
svAhA	176409	svāha	relaxed	3
svApi	213392	svapi	relaxed	4
svAsanaka	206254	śvasanakā	relaxed	1
svAvft	223675	svavṛt	relaxed	4
svaByasa	222058	śvabhyaśa	relaxed	1
svaDA	176498	svadha	relaxed	1
svacCanda	216575	svacchandā	relaxed	4
svarasa	168449	svarasā	relaxed	1
svarya	168715	svaryā	relaxed	1
svasreya	212144	svasreyā	relaxed	1
svastika	169883	svāstika	relaxed	1
syAt	214981	syāṭ	relaxed	1
tAlISapatra	165697	tālīsapatra	relaxed	4
tAlajaNGa	170530	tālajaṅghā	relaxed	1
tAlapatra	165822	tālapatrā	relaxed	1
tAlavana	217255	talavana	relaxed	1
tAmraliptikA	211720	tāmraliptika	relaxed	2
tAmratA	209863	tāmrāta	relaxed	1
tAnUnaptrin	225956	tānunaptrin	relaxed	1
tApI	215405	tāpi	relaxed	1
tAratAra	211861	tāratara	relaxed	4
tIkzRAmla	206077	tīkṣṇāmlā	relaxed	1
tIkzRapattra	168826	tīkṣṇapattrā	relaxed	1
tIrI	214741	tiri	relaxed	1
tIragraha	216996	tīragrāha	relaxed	1
tUzRIBAva	220744	tuṣṇībhāva	relaxed	48
taRqulIyaka	166546	taṇḍulīyakā	relaxed	1
tac	215941	ṭac	relaxed	1
tadarTaka	215717	tādarthaka	relaxed	1
takraBaktA	176381	takrabhakta	relaxed	2
tamopaha	218340	tamopahā	relaxed	1
tanUpA	222865	tanūpa	relaxed	4
tanmAtra	200539	tānmātra	relaxed	1
tap	215670	ṭāp	relaxed	2
tapAnta	224265	tapanta	relaxed	1
tapaHsidDa	198909	tapaḥsiddhā	relaxed	1
tapinI	97143	tāpinī	relaxed	1
taraMga	208218	taraṃgā	relaxed	1
tarawa	172411	tāratā	relaxed	3
tarda	221163	tardā	relaxed	1
tarjanikA	223885	tarjanīkā	relaxed	1
tas	214888	tās	relaxed	3
tattva	218054	tāttva	relaxed	2
tejaskara	205386	tejaskāra	relaxed	1
ti	213341	ṭi	relaxed	10
tiktamarica	166993	tiktamarīca	relaxed	1
tila	168728	tilā	relaxed	1
tilaparRa	166888	tīlaparṇa	relaxed	1
tintrIRIkA	203898	tintriṇīka	relaxed	4
tiraka	207101	tīraka	relaxed	1
titikzu	219029	titīkṣu	relaxed	2
tizyapuzpA	210582	tiṣyapuṣpa	relaxed	1
toya	83601	toyā	relaxed	4
trAsikA	210763	trāsika	relaxed	1
trEDAtavyA	224996	traidhātavya	relaxed	1
trayastriMSat	220436	trāyastriṃśat	relaxed	2
triBAga	198608	tribhāgā	relaxed	1
trikARqa	206082	trikandā	relaxed	1
tripattra	205140	tripattrā	relaxed	1
trireKa	204074	trirekhā	relaxed	2
trisarI	176535	trisāri	relaxed	1
tristAvA	225263	tristāva	relaxed	3
trivftA	199011	trivṛta	relaxed	5
trivftA	199894	trivṛta	relaxed	14
trowana	217981	troṭanā	relaxed	1
tryaSraPalA	166991	tryasraphalā	relaxed	1
tryavi	224218	tryavī	relaxed	1
tuk	213870	ṭuk	relaxed	1
tumbikA	204371	tumbīkā	relaxed	1
uBayapadin	223548	ubhayāpadin	relaxed	1
ucCada	204275	ucchāda	relaxed	1
uccEHSravyakarRaka	223047	uccaiḥśrāvyakarṇaka	relaxed	1
uccati	172198	uccaṭī	relaxed	2
udAna	209278	udānā	relaxed	1
udAna	220295	udana	relaxed	11
udAsa	213455	udāsā	relaxed	2
udBAvaka	204926	udbhavaka	relaxed	3
udGozaRa	56647	udghoṣaṇā	relaxed	2
udIcInapAda	225195	udīcīnapada	relaxed	1
udakpAda	223596	udakpada	relaxed	1
udavAha	201032	udāvaha	relaxed	1
udavAsa	160171	udavasā	relaxed	29
uddAna	168394	uḍḍāna	relaxed	1
uddAya	221996	uddaya	relaxed	1
uddF	217882	uddṛ	relaxed	1
udgATA	225387	udgatha	relaxed	1
udgF	160215	udgṛ	relaxed	57
udvAma	167158	udvama	relaxed	3
ugratArA	170061	ugratara	relaxed	3
ujJa	160238	ujjhā	relaxed	13
ujJa	222796	ujjhā	relaxed	2
ujJawA	170973	ujjhatā	relaxed	1
undara	208769	uṇḍara	relaxed	1
unmaTAy	216036	unmathay	relaxed	1
unmatta	167477	unmattā	relaxed	1
unnata	217250	unnāṭa	relaxed	1
upADu	218968	upadhū	relaxed	2
upAliH	223324	upalih	relaxed	1
upAnas	225361	upanaś	relaxed	1
upAnasa	219873	upānaśa	relaxed	1
upArC	221159	uparch	relaxed	7
upArD	226552	upardh	relaxed	1
upArz	221233	uparṣ	relaxed	4
upAsA	223065	upaśa	relaxed	1
upAsaNga	176469	upasaṅga	relaxed	2
upaSaNk	217040	upāśaṅk	relaxed	1
upabADA	225169	upabādha	relaxed	2
upabAhyakA	225508	upabāhyaka	relaxed	1
upacitraka	168882	upacitrakā	relaxed	1
upadAtf	226155	upādātṛ	relaxed	4
upadeva	45079	upadevā	relaxed	7
upajApa	214453	upajapa	relaxed	1
upakAla	216215	upakala	relaxed	1
upakruS	220319	upākruś	relaxed	3
upakuYci	166789	upakuñcī	relaxed	3
upanadi	198602	upanadī	relaxed	3
upanam	221971	upānam	relaxed	1
upaniSA	220424	upanisā	relaxed	11
upaplavin	204689	upaplāvin	relaxed	1
upasUc	216429	upaśuc	relaxed	1
upaspfS	210144	upāspṛś	relaxed	1
upasravaRa	212048	upaśravaṇa	relaxed	1
upavAsa	160708	upāvasā	relaxed	1
upavarta	214396	upāvarta	relaxed	1
upavas	214010	upāvas	relaxed	4
upavyuzam	209886	upavyūṣam	relaxed	3
upodi	169136	upodī	relaxed	1
uqqiyAnaka	167469	uḍḍīyānaka	relaxed	2
uqumbarI	166906	udumbarī	relaxed	4
urubilvAkASyapa	223118	urubilvakāśyapa	relaxed	2
utKA	224732	utkha	relaxed	2
utkIrRikA	222036	utkīrṇika	relaxed	1
utkaRWAy	175918	utkaṇṭhay	relaxed	6
utkala	175629	utkalā	relaxed	2
utkramaRa	218085	utkrāmaṇa	relaxed	1
utsa	221288	utsā	relaxed	3
utsavAy	226309	utsavay	relaxed	1
utsiv	220239	utsīv	relaxed	9
uttF	160131	uttṛ	relaxed	209
uttaray	160132	uttāray	relaxed	55
uzRihA	225220	uṣṇiha	relaxed	2
uzadgu	209723	uśadgu	relaxed	3
