mandala	sukta	verse	pada_letter	pratika	match_status	elizarenkova_ref	rvlinks_anchor	pratika_verified_in_elizarenkova
1	33	13	b	vi tigmena vṛṣabhenā puro’bhet	joined	samudra:01_rigveda.no_tags#33.13	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.13	y
1	33	13	c	saṃ vajreṇāsṛjad (MS. °ābhinad) vṛtram indraḥ	joined	samudra:01_rigveda.no_tags#33.13	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.13	y
1	33	13	d	pra svāṃ matim atirac chāśadānaḥ (MS. °rañ śā°)	joined	samudra:01_rigveda.no_tags#33.13	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.13	y
1	33	14	a	āvaḥ kutsam indra yasmiñ cākan	joined	samudra:01_rigveda.no_tags#33.14	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.14	y
1	33	14	b	prāvo yudhyantaṃ vṛṣabhaṃ daśadyum	joined	samudra:01_rigveda.no_tags#33.14	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.14	y
1	33	14	c	śaphacyuto reṇur nakṣata dyām	joined	samudra:01_rigveda.no_tags#33.14	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.14	y
1	33	14	d	uc chvaitreyo nṛṣāhyāya tasthau	joined	samudra:01_rigveda.no_tags#33.14	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.14	y
1	33	15	a	āvaḥ śamaṃ vṛṣabhaṃ tugryāsu	joined	samudra:01_rigveda.no_tags#33.15	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.15	y
1	33	15	b	kṣetrajeṣe maghavañ chvitryaṃ gām	joined	samudra:01_rigveda.no_tags#33.15	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.15	y
1	33	15	c	jyok cid atra tasthivāṃso akran	joined	samudra:01_rigveda.no_tags#33.15	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.15	y
1	33	15	d	śatrūyatām adharā vedanākaḥ	joined	samudra:01_rigveda.no_tags#33.15	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.15	n
