signature	count	share_pct
VERB|Gen Plur Fem Pres	119	0.002092
NOUN|Dat Dual Fem	118	0.002074
VERB|Acc Dual Neut	117	0.002057
VERB|Acc Plur Masc Pres Pass	117	0.002057
VERB|Plur p2 Past Jus	115	0.002022
VERB|Nom Dual Masc Past	114	0.002004
NUM|	113	0.001986
VERB|Dual p1 Pres Imp	113	0.001986
VERB|Abl Sing Masc Pres	113	0.001986
VERB|Dual p2 Past Jus	107	0.001881
NUM|Dat Plur Fem	105	0.001846
NUM|Abl Sing Neut	103	0.001811
VERB|Plur p3 Pres Opt Pass	103	0.001811
VERB|Gen Sing Masc Fut	103	0.001811
ADJ|Abl Plur Neut	101	0.001776
NOUN|Abl Dual Neut	101	0.001776
VERB|Gen Plur Masc Pres Pass	101	0.001776
VERB|Gen Plur Neut Pres	97	0.001705
NUM|Gen Plur Fem	95	0.00167
VERB|Dat Plur Masc	95	0.00167
VERB|Abl Plur Masc	94	0.001652
VERB|Sing p1 Pres Ind Pass	93	0.001635
PRON|Dat Dual Masc	91	0.0016
VERB|Dual p1 Fut Ind	91	0.0016
VERB|Ins Dual Masc	91	0.0016
VERB|Nom Sing Neut Fut	89	0.001565
NUM|Loc Sing Fem	86	0.001512
VERB|Nom Dual Fem Pres	83	0.001459
ADJ|Acc Sing	81	0.001424
VERB|Ins Plur Neut Pres	81	0.001424
VERB|Dat Plur Masc Pres	79	0.001389
VERB|Loc Plur Neut Pres	79	0.001389
VERB|Loc Plur Neut Pres Pass	78	0.001371
VERB|Nom Plur Fem Pres Pass	77	0.001354
VERB|Loc Sing Neut Past	76	0.001336
NUM|Abl Plur Masc	75	0.001318
NUM|Loc Dual Masc	75	0.001318
ADJ|Gen Dual Fem	73	0.001283
VERB|Pres	73	0.001283
VERB|Plur p3 Plp Ind	72	0.001266
ADJ|Dat Plur Fem	71	0.001248
VERB|Dual p1 Pres Sub	71	0.001248
VERB|Plur p2 Pres Sub	71	0.001248
VERB|Plur p3 Past Sub	71	0.001248
NUM|Ins Dual Neut	69	0.001213
PRON|Ins Dual	69	0.001213
VERB|Acc Sing Masc Fut	69	0.001213
VERB|Gen Plur Masc Past	69	0.001213
VERB|Acc Plur Fem Past	68	0.001195
VERB|Nom Plur Neut Past	68	0.001195
VERB|Plur p2 Pres Opt	67	0.001178
VERB|Nom Plur Neut Pres Pass	67	0.001178
ADJ|Nom Plur	66	0.00116
VERB|Plur p3 Past Imp	66	0.00116
VERB|Ins Plur Masc Pres Pass	65	0.001143
VERB|Loc Sing Fem Past	65	0.001143
VERB|Plur p1 Fut Cond	63	0.001108
VERB|Ins Sing Masc Pres Pass	61	0.001072
VERB|Sing p2 Past Opt	60	0.001055
VERB|Ins Plur Fem Pres	60	0.001055
VERB|Gen Sing Neut Pres Pass	59	0.001037
VERB|Ins Sing Masc Past	59	0.001037
NUM|Gen Sing Fem	58	0.00102
PRON|Loc Dual Masc	58	0.00102
ADJ|Ins Dual Neut	57	0.001002
ADJ|Loc Dual Neut	56	0.000984
NOUN|Gen Sing	55	0.000967
ADJ|Abl Sing	54	0.000949
