surface	lemma_iast	upos	n_occ	n_refs	refs	headword_slp1	link_method	conf	sense_ids	card_href
dhruvaḥ	dhruva	ADJ	2	2	Hitopadeśa, Hitop, 4, 71.2; Hitopadeśa, Hitop, 4, 71.3	Druva	exact	0.95	1a|1b|1c|2a|2b|2c|2d|2e|2f|2g|2h|2i|2k|2l|2m|2n|2o|2p|2q|2r|2s|2t|2u|3a|3b|3d|3l|4a|4b	../w/_44ruva.html
dhruvāṇi	dhruva	ADJ	2	2	Hitopadeśa, Hitop, 1, 200.16; Hitopadeśa, Hitop, 1, 200.17	Druva	exact	0.95	1a|1b|1c|2a|2b|2c|2d|2e|2f|2g|2h|2i|2k|2l|2m|2n|2o|2p|2q|2r|2s|2t|2u|3a|3b|3d|3l|4a|4b	../w/_44ruva.html
dhvanim	dhvani	NOUN	2	2	Hitopadeśa, Hitop, 2, 87.10; Hitopadeśa, Hitop, 3, 102.23	Dvani	xref	0.99		../w/_44vani.html
dhānya	dhānya	NOUN	2	2	Hitopadeśa, Hitop, 3, 55.1; Hitopadeśa, Hitop, 4, 27.11	DAnya	exact	0.95		../w/_44_41nya.html
dhāvitaḥ	dhāv	VERB	2	2	Hitopadeśa, Hitop, 1, 37.2; Hitopadeśa, Hitop, 3, 10.8	DAv	xref	0.99		../w/_44_41v.html
dhīvaraiḥ	dhīvara	NOUN	2	2	Hitopadeśa, Hitop, 4, 6.6; Hitopadeśa, Hitop, 4, 11.3	DIvara	xref	0.99		../w/_44_49vara.html
dhūrta	dhūrta	NOUN	2	2	Hitopadeśa, Hitop, 4, 60.4; Hitopadeśa, Hitop, 4, 66.9	DUrta	exact	0.95		../w/_44_55rta.html
dhūrtaiḥ	dhūrta	NOUN	2	2	Hitopadeśa, Hitop, 4, 59.4; Hitopadeśa, Hitop, 4, 66.10	DUrta	exact	0.95		../w/_44_55rta.html
dhūrtena	dhūrta	NOUN	2	2	Hitopadeśa, Hitop, 4, 60.6; Hitopadeśa, Hitop, 4, 60.8	DUrta	exact	0.95		../w/_44_55rta.html
dhṛtvā	dhṛ	VERB	2	2	Hitopadeśa, Hitop, 1, 22.1; Hitopadeśa, Hitop, 2, 31.6	Df	xref	0.99		../w/_44f.html
dina	dina	NOUN	2	2	Hitopadeśa, Hitop, 1, 73.6; Hitopadeśa, Hitop, 3, 102.14	dina	xref	0.99		../w/dina.html
