in_form	prefix_guess	dhatu	palsule_no	prefix	dhatu_check
samunnad		unnad		sam	unnad
samunnah		unnah		sam	unnah
samunnam		unnam		sam	unnam
samunnamay		unnamay		sam	unnamay
samunnī		unnī		sam	unnī
samupabhuj		bhuj		samupa	bhuj
samupabṛhay		bṛhay		samupa	bṛhay
samupācar		upācar		sam	upācar
samupaci		ci		samupa	ci
samupādā		upādā		sam	upādā
samupadhāv		dhāv		samupa	dhāv
samupadiś		diç		samupa	diç
samupadṛś		dṛç		samupa	dṛç
samupadru		dru		samupa	dru
samupagam		gam		samupa	gam
samupāgam		upāgam		sam	upāgam
samupaghrā		ghrā		samupa	ghrā
samupāghrā		upāghrā		sam	upāghrā
samupāhṛ		upāhṛ		sam	upāhṛ
samupahvā		hu		samupah	hu
samupajan		jan		samupa	jan
samupajanay		janay		samupa	janay
samupajñā		jñā		samupa	jñā
samupakalpay		kalpay		samupa	kalpay
samupak�p		k�p		samupa	k�p
samupakram		kram		samupa	kram
samupalabh		labh		samupa	labh
samupalakṣay		lakṣay		samupa	lakṣay
samupanah		nah		samupa	nah
samupanī		nī		samupa	nī
samupānī		upānī		sam	upānī
samupapad		pad		samupa	pad
samupapāday		pāday		samupa	pāday
samupārabh		upārabh		sam	upārabh
samupārjay		upārjay		sam	upārjay
samupāruh		upāruh		sam	upāruh
samupās		upās		sam	upās
samupasad		sad		samupa	sad
samupaśam		çam		samupa	çam
samupasaṃkram		kram		samupasaṃ	kram
samupasev		sev		samupa	sev
samupaspṛs		spṛs		samupa	spṛs
samupasṛ		sṛ		samupa	sṛ
samupāśri		upāśri		sam	upāśri
samupasṛp		sṛp		samupa	sṛp
samupaśru		çru		samupa	çru
samupasthā		sthā		samupa	sthā
samupāsthā		upāsthā		sam	upāsthā
samupasthāpay		sthāpay		samupa	sthāpay
samupatap		tap		samupa	tap
samupavah		vah		samupa	vah
samupavas		vas		samupa	vas
samupaveśay		veśay		samupa	veśay
samupaviś		viç		samupa	viç
samupāvṛ		upāvṛ		sam	upāvṛ
samupavṛt		vṛt		samupa	vṛt
samupayā		yā		samupa	yā
samupāyā		upāyā		sam	upāyā
samupayuj		yuj		samupa	yuj
samupāyuj		upāyuj		sam	upāyuj
samupe		upe		sam	upe
samupekṣ		upekṣ		sam	upekṣ
samutkhan		utkhan		sam	utkhan
samutkleśay		utkleśay		sam	utkleśay
samutkliś		utkliś		sam	utkliś
samutkṛ		utkṛ		sam	utkṛ
samutkram		utkram		sam	utkram
samutkṛṣ		utkṛṣ		sam	utkṛṣ
samutkṛt		utkṛt		sam	utkṛt
samutkruś		utkruś		sam	utkruś
samutkṣip		utkṣip		sam	utkṣip
samutkūlay		utkūlay		sam	utkūlay
samutkvāthay		utkvāthay		sam	utkvāthay
samutpad		utpad		sam	utpad
samutpāday		utpāday		sam	utpāday
samutpat		utpat		sam	utpat
samutpātay		utpātay		sam	utpātay
samutpāṭay		utpāṭay		sam	utpāṭay
samutpīḍay		utpīḍay		sam	utpīḍay
samutpiṣ		utpiṣ		sam	utpiṣ
samutsad		utsad		sam	utsad
samutsāday		utsāday		sam	utsāday
samutsah		utsah		sam	utsah
samutsāhay		utsāhay		sam	utsāhay
samutsāray		utsāray		sam	utsāray
samutsṛj		utsṛj		sam	utsṛj
samutsṛp		utsṛp		sam	utsṛp
samuttāray		uttāray		sam	uttāray
samuttejay		uttejay		sam	uttejay
samutthā		utthā		sam	utthā
samutthāpay		utthāpay		sam	utthāpay
samuttṛ		uttṛ		sam	uttṛ
samuttras		uttras		sam	uttras
saṃvā		vā		saṃ	vā
saṃvac		vac		saṃ	vac
saṃvad		vad		saṃ	vad
saṃvāday		vāday		saṃ	vāday
saṃvah		vah		saṃ	vah
saṃvāhay		vāhay		saṃ	vāhay
saṃval		val		saṃ	val
saṃvand		vand		saṃ	vand
saṃvāray		vāray		saṃ	vāray
saṃvardhay		vardhay		saṃ	vardhay
saṃvarjay		varjay		saṃ	varjay
saṃvartay		vartay		saṃ	vartay
saṃvas		vas		saṃ	vas
saṃveday		veday		saṃ	veday
saṃvejay		vejay		saṃ	vejay
saṃvell		vell		saṃ	vell
saṃveśay		veśay		saṃ	veśay
saṃveṣṭ		veṣṭ		saṃ	veṣṭ
saṃveṣṭay		veṣṭay		saṃ	veṣṭay
saṃvibhaj		bhaj		saṃvi	bhaj
saṃvibhāvay		bhāvay		saṃvi	bhāvay
saṃvicar		car		saṃvi	car
saṃvicāray		cāray		saṃvi	cāray
saṃviceṣṭ		ceṣṭ		saṃvi	ceṣṭ
saṃvidhā		dhā		saṃvi	dhā
saṃvidru		dru		saṃvi	dru
saṃvigāh		gāh		saṃvi	gāh
saṃvihā		hā		saṃvi	hā
saṃvihṛ		hṛ		saṃvi	hṛ
saṃvij		vij		saṃ	vij
saṃvījay		vījay		saṃ	vījay
saṃvijñā		jñā		saṃvi	jñā
saṃvijñāpay		jñāpay		saṃvi	jñāpay
saṃvikṛ		kṛ		saṃvi	kṛ
saṃvip		vip		saṃ	vip
saṃviś		viç		saṃ	viç
saṃvivad		vad		saṃvi	vad
saṃvivah		vah		saṃvi	vah
saṃvraj		vraj		saṃ	vraj
saṃvṛdh		vṛdh		saṃ	vṛdh
saṃvṛj		vṛj		saṃ	vṛj
saṃvṛṣ		vṛṣ		saṃ	vṛṣ
saṃvṛt		vṛt		saṃ	vṛt
saṃvyadh		vyadh		saṃ	vyadh
saṃvyāp		vip		saṃv	vip
saṃvyavahṛ		hṛ		saṃvyava	hṛ
saṃvyavasthā		sthā		saṃvyava	sthā
saṃvye		vye		saṃ	vye
saṃyā		yā		saṃ	yā
saṃyāc		yāc		saṃ	yāc
saṃyācay		yācay		saṃ	yācay
saṃyaj		yaj		saṃ	yaj
saṃyājay		yājay		saṃ	yājay
saṃyam		yam		saṃ	yam
saṃyamay		yamay		saṃ	yamay
saṃyat		yat		saṃ	yat
saṃyodhay		yodhay		saṃ	yodhay
saṃyojay		yojay		saṃ	yojay
saṃyu		yu		saṃ	yu
saṃyudh		yudh		saṃ	yudh
saṃyuj		yuj		saṃ	yuj
sanāthīkṛ		nāthīkṛ		sa	nāthīkṛ
sāndrībhū		sāndrībhū			sāndrībhū
sañj		sañj			sañj
śaṅk		çaṅk			çaṅk
śāntībhū		śāntībhū			śāntībhū
śap		çap			çap
śāpay		śāpay			śāpay
saphalībhū		phalībhū		sa	phalībhū
saphalīkṛ		phalīkṛ		sa	phalīkṛ
sāray		sāray			sāray
sarjay		rjay		sa	rjay
sarpay		rpay		sa	rpay
śās		çās			çās
śāsay		śāsay			śāsay
śātay		śātay			śātay
satkāray		tkāray		sa	tkāray
satkṛ		tkṛ		sa	tkṛ
sātmyībhū		sātmyībhū			sātmyībhū
sātmyīkṛ		sātmyīkṛ			sātmyīkṛ
śāyay		śāyay			śāyay
secay		secay			secay
śekharībhū		śekharībhū			śekharībhū
śeṣay		śeṣay			śeṣay
śeṣībhū		śeṣībhū			śeṣībhū
sev		sev			sev
sevay		sevay			sevay
sic		sic			sic
śikhīkṛ		śikhīkṛ			śikhīkṛ
śikṣ		çikṣ			çikṣ
siṃhīkṛ		siṃhīkṛ			siṃhīkṛ
siñcay		siñcay			siñcay
sindūrīkṛ		sindūrīkṛ			sindūrīkṛ
siñj		siñj			siñj
śīrṇay		śīrṇay			śīrṇay
śiṣ		çiṣ			çiṣ
śiśirīkṛ		śiśirīkṛ			śiśirīkṛ
śītalībhū		śītalībhū			śītalībhū
śītalīkṛ		śītalīkṛ			śītalīkṛ
śithilībhū		śithilībhū			śithilībhū
śithilīkṛ		śithilīkṛ			śithilīkṛ
śītībhū		śītībhū			śītībhū
śītīkṛ		śītīkṛ			śītīkṛ
śītkṛ		śītkṛ			śītkṛ
sīv		sīv			sīv
śivamayīkṛ		śivamayīkṛ			śivamayīkṛ
sīvay		sīvay			sīvay
śivībhū		śivībhū			śivībhū
śivīkṛ		śivīkṛ			śivīkṛ
skambh		skambh			skambh
skand		skand			skand
skanday		skanday			skanday
skhal		skhal			skhal
skhalay		skhalay			skhalay
ślāgh		çlāgh			çlāgh
ślāghay		ślāghay			ślāghay
ślakṣṇīkṛ		ślakṣṇīkṛ			ślakṣṇīkṛ
ślathīkṛ		ślathīkṛ			ślathīkṛ
śleṣay		śleṣay			śleṣay
śliṣ		çliṣ			çliṣ
smāray		smāray			smāray
smi		smi			smi
smṛ		smṛ			smṛ
snā		snā			snā
snapay		snapay			snapay
snāpay		snāpay			snāpay
snehay		snehay			snehay
snih		snih			snih
śobhay		śobhay			śobhay
śocay		śocay			śocay
śodhay		śodhay			śodhay
śoṇībhū		śoṇībhū			śoṇībhū
śoṣay		śoṣay			śoṣay
spand		spand			spand
spanday		spanday			spanday
sparśay		sparśay			sparśay
spaṣṭīkṛ		spaṣṭīkṛ			spaṣṭīkṛ
sphāray		sphāray			sphāray
sphaṭībhū		sphaṭībhū			sphaṭībhū
sphoṭay		sphoṭay			sphoṭay
sphur		sphur			sphur
sphūrj		sphūrj			sphūrj
sphuṭ		sphuṭ			sphuṭ
sphuṭībhū		sphuṭībhū			sphuṭībhū
sphuṭīkṛ		sphuṭīkṛ			sphuṭīkṛ
spṛdh		spṛdh			spṛdh
spṛh		spṛh			spṛh
spṛhay		spṛhay			spṛhay
spṛś		spṛç			spṛç
sṛ		sṛ			sṛ
śṛ		çṛ			çṛ
śraddhā		śraddhā			śraddhā
śram		çram			çram
sraṃs		sraṃs			sraṃs
sraṃsay		sraṃsay			sraṃsay
śrapay		śrapay			śrapay
srāvay		srāvay			srāvay
śravay		śravay			śravay
śrāvay		śrāvay			śrāvay
śri		çri			çri
śrī		çrī			çrī
sṛj		sṛj			sṛj
śṛṅgār		śṛṅgār			śṛṅgār
śṛṅkhalībhū		śṛṅkhalībhū			śṛṅkhalībhū
sṛp		sṛp			sṛp
sru		sru			sru
śru		çru			çru
stabdhīkṛ		stabdhīkṛ			stabdhīkṛ
stambh		stambh			stambh
stambhay		stambhay			stambhay
stambhībhū		stambhībhū			stambhībhū
stan		stan			stan
stanay		stanay			stanay
sthā		sthā			sthā
sthāpay		sthāpay			sthāpay
sthirībhū		sthirībhū			sthirībhū
sthirīkṛ		sthirīkṛ			sthirīkṛ
ṣṭhīv		ṣṭhīv			ṣṭhīv
stṛ		stṛ			stṛ
stu		stu			stu
styai		styai			styai
su		su			su
sū		sū			sū
śubh		çubh			çubh
śuc		çuc			çuc
sūd		sūd			sūd
sūday		sūday			sūday
śuddhīkṛ		śuddhīkṛ			śuddhīkṛ
śudh		çudh			çudh
śūdrībhū		śūdrībhū			śūdrībhū
sukhākṛ		khākṛ		su	khākṛ
sukhībhū		khībhū		su	khībhū
sukhīkṛ		khīkṛ		su	khīkṛ
śukrībhū		śukrībhū			śukrībhū
sūkṣmībhū		sūkṣmībhū			sūkṣmībhū
sūkṣmīkṛ		sūkṣmīkṛ			sūkṣmīkṛ
sulabhībhū		labhībhū		su	labhībhū
supattrīkṛ		pattrīkṛ		su	pattrīkṛ
supeṣay		peṣay		su	peṣay
suprabuddhīkṛ		buddhīkṛ		supra	buddhīkṛ
suprasad		sad		supra	sad
supūjay		pūjay		su	pūjay
surabhīkṛ		rabhīkṛ		su	rabhīkṛ
surakṣay		rakṣay		su	rakṣay
śuṣ		çuṣ			çuṣ
susādhay		sādhay		su	sādhay
suṣirīkṛ		ṣirīkṛ		su	ṣirīkṛ
śuṣkībhū		śuṣkībhū			śuṣkībhū
śuṣkīkṛ		śuṣkīkṛ			śuṣkīkṛ
śuśrūṣ		śuśrūṣ			śuśrūṣ
susthirībhū		sthirībhū		su	sthirībhū
svad		svad			svad
svāday		svāday			svāday
svāgatīkṛ		svāgatīkṛ			svāgatīkṛ
svaj		svaj			svaj
svalpībhū		svalpībhū			svalpībhū
svan		svan			svan
svāṅgaśītīkṛ		svāṅgaśītīkṛ			svāṅgaśītīkṛ
svap		svap			svap
svar		svar			svar
svarasīkṛ		svarasīkṛ			svarasīkṛ
śvas		çvas			çvas
śvāsay		śvāsay			śvāsay
svasthībhū		svasthībhū			svasthībhū
svasthīkṛ		svasthīkṛ			svasthīkṛ
sveday		sveday			sveday
śvi		çvi			çvi
svid		svid			svid
svīkṛ		svīkṛ			svīkṛ
śyā		çyā			çyā
śyāmīkṛ		śyāmīkṛ			śyāmīkṛ
syand		syand			syand
syanday		syanday			syanday
śyāvībhū		śyāvībhū			śyāvībhū
taḍ		taḍ			taḍ
tāḍay		tāḍay			tāḍay
takṣ		takṣ			takṣ
takṣay		takṣay			takṣay
tam		tam			tam
tamay		tamay			tamay
tāmrībhū		tāmrībhū			tāmrībhū
tāmrīkṛ		tāmrīkṛ			tāmrīkṛ
tan		tan			tan
tānay		tānay			tānay
tanmayībhū		tanmayībhū			tanmayībhū
tanmayīkṛ		tanmayīkṛ			tanmayīkṛ
tap		tap			tap
tāpay		tāpay			tāpay
tāray		tāray			tāray
tarj		tarj			tarj
tarjāpay		tarjāpay			tarjāpay
tarjay		tarjay			tarjay
tarpay		tarpay			tarpay
tarṣay		tarṣay			tarṣay
tejay		tejay			tejay
tim		tim			tim
timay		timay			timay
tiraskṛ		tiraskṛ			tiraskṛ
tirobhāvay		tirobhāvay			tirobhāvay
tirobhū		tirobhū			tirobhū
tirodhā		tirodhā			tirodhā
tīrthīkṛ		tīrthīkṛ			tīrthīkṛ
tolay		tolay			tolay
toṣay		toṣay			toṣay
tṛ		tṛ			tṛ
trā		trā			trā
tras		tras			tras
trāsay		trāsay			trāsay
triguṇīkṛ		triguṇīkṛ			triguṇīkṛ
tṛṇīkṛ		tṛṇīkṛ			tṛṇīkṛ
troṭay		troṭay			troṭay
tṛp		tṛp			tṛp
tṛṣ		tṛṣ			tṛṣ
truṭ		truṭ			truṭ
tud		tud			tud
tulay		tulay			tulay
tuṅgībhū		tuṅgībhū			tuṅgībhū
tuṣ		tuṣ			tuṣ
tuṣṇībhū		tuṣṇībhū			tuṣṇībhū
tvaṃkṛ		tvaṃkṛ			tvaṃkṛ
tvar		tvar			tvar
tvaray		tvaray			tvaray
tyaj		tyaj			tyaj
tyājay		tyājay			tyājay
uc		uc			uc
uccal		uccal			uccal
uccar		uccar			uccar
uccāray		uccāray			uccāray
uccāṭay		uccāṭay			uccāṭay
ucchāday		ucchāday			ucchāday
ucchal		ucchal			ucchal
uccheday		uccheday			uccheday
uccheṣaṇīkṛ		uccheṣaṇīkṛ			uccheṣaṇīkṛ
uccheṣay		uccheṣay			uccheṣay
ucchid		ucchid			ucchid
ucchiṣ		ucchiṣ			ucchiṣ
ucchri		ucchri			ucchri
ucchuṣ		ucchuṣ			ucchuṣ
ucchvas		ucchvas			ucchvas
ucchvasay		ucchvasay			ucchvasay
ucchvāsay		ucchvāsay			ucchvāsay
ucchvi		ucchvi			ucchvi
ucci		ucci			ucci
uccoṣay		uccoṣay			uccoṣay
udāharaṇīkṛ		haraṇīkṛ		udā	haraṇīkṛ
udāhṛ		hṛ		udā	hṛ
udañc		añc		ud	añc
udānī		nī		udā	nī
udañj		añj		ud	añj
udāplu		plu		udā	plu
udas		as		ud	as
udās		ās		ud	ās
udāvah		vah		udā	vah
udāvartay		vartay		udā	vartay
udāvṛt		vṛt		udā	vṛt
udbandh		bandh		ud	bandh
udbhā		bhā		ud	bhā
udbhās		bhās		ud	bhās
udbhāsay		bhāsay		ud	bhāsay
udbhāvay		bhāvay		ud	bhāvay
udbheday		bheday		ud	bheday
udbhid		bhid		ud	bhid
udbhṛ		bhṛ		ud	bhṛ
udbhram		bhram		ud	bhram
udbhū		bhū		ud	bhū
udbodhay		bodhay		ud	bodhay
udbudh		budh		ud	budh
uddā		dā		ud	dā
uddālay		dālay		ud	dālay
uddeśay		deśay		ud	deśay
uddhan		dhan		ud	dhan
uddhāray		dhāray		ud	dhāray
uddharṣay		dharṣay		ud	dharṣay
uddhū		dhū		ud	dhū
uddhukṣ		dhukṣ		ud	dhukṣ
uddhvaṃs		dhvaṃs		ud	dhvaṃs
uddhvaṃsay		dhvaṃsay		ud	dhvaṃsay
uḍḍī		uḍḍī			uḍḍī
uddīp		dīp		ud	dīp
uddīpay		dīpay		ud	dīpay
uddiś		diç		ud	diç
uddyotay		dyotay		ud	dyotay
ude		e		ud	e
udgam		gam		ud	gam
udgamay		gamay		ud	gamay
udgarj		garj		ud	garj
udghaṭ		ghaṭ		ud	ghaṭ
udghaṭay		ghaṭay		ud	ghaṭay
udghāṭay		ghāṭay		ud	ghāṭay
udghoṣay		ghoṣay		ud	ghoṣay
udghṛṣ		ghṛṣ		ud	ghṛṣ
udghuṣ		ghuṣ		ud	ghuṣ
udgiray		giray		ud	giray
udgṛ		gṛ		ud	gṛ
udgrah		grah		ud	grah
udgrāhay		grāhay		ud	grāhay
udgranth		granth		ud	granth
udi		i		ud	i
udīkṣ		īkṣ		ud	īkṣ
udīr		īr		ud	īr
udīray		īray		ud	īray
udric		ric		ud	ric
udvā		vā		ud	vā
udvac		vac		ud	vac
udvah		vah		ud	vah
udvāhay		vāhay		ud	vāhay
udvam		vam		ud	vam
udvap		vap		ud	vap
udvartay		vartay		ud	vartay
udvāsay		vāsay		ud	vāsay
udvejay		vejay		ud	vejay
udveṣṭ		veṣṭ		ud	veṣṭ
udveṣṭay		veṣṭay		ud	veṣṭay
udvij		vij		ud	vij
udvīkṣ		vīkṣ		ud	vīkṣ
udvip		vip		ud	vip
udvṛ		vṛ		ud	vṛ
udvraj		vraj		ud	vraj
udvṛdh		vṛdh		ud	vṛdh
udvṛt		vṛt		ud	vṛt
udvyadh		vyadh		ud	vyadh
udyā		yā		ud	yā
udyāc		yāc		ud	yāc
udyam		yam		ud	yam
udyamay		yamay		ud	yamay
udyojay		yojay		ud	yojay
udyuj		yuj		ud	yuj
ūhay		ūhay			ūhay
ujh		ujh			ujh
ujjīv		ujjīv			ujjīv
ujjīvay		ujjīvay			ujjīvay
ujjval		ujjval			ujjval
ujjvalay		ujjvalay			ujjvalay
ujjvālay		ujjvālay			ujjvālay
ujjvalībhū		ujjvalībhū			ujjvalībhū
ukṣ		ukṣ			ukṣ
ukṣay		ukṣay			ukṣay
ullambay		ullambay			ullambay
ullaṅghay		ullaṅghay			ullaṅghay
ullap		ullap			ullap
ullas		ullas			ullas
ullāsay		ullāsay			ullāsay
ullekhay		ullekhay			ullekhay
ullikh		ullikh			ullikh
ulliṅg		ulliṅg			ulliṅg
ullip		ullip			ullip
ulloḍay		ulloḍay			ulloḍay
ullup		ullup			ullup
uñch		uñch			uñch
unmā		unmā			unmā
unmad		unmad			unmad
unmāday		unmāday			unmāday
unmajj		unmajj			unmajj
unmajjay		unmajjay			unmajjay
unmānay		unmānay			unmānay
unmāpay		unmāpay			unmāpay
unmarday		unmarday			unmarday
unmārjay		unmārjay			unmārjay
unmath		unmath			unmath
unmattīkṛ		unmattīkṛ			unmattīkṛ
unmīl		unmīl			unmīl
unmīlay		unmīlay			unmīlay
unmiṣ		unmiṣ			unmiṣ
unmocay		unmocay			unmocay
unmṛd		unmṛd			unmṛd
unmṛj		unmṛj			unmṛj
unmṛś		unmṛś			unmṛś
unmuc		unmuc			unmuc
unmukhībhū		unmukhībhū			unmukhībhū
unmukhīkṛ		unmukhīkṛ			unmukhīkṛ
unmūlay		unmūlay			unmūlay
unnad		unnad			unnad
unnāday		unnāday			unnāday
unnah		unnah			unnah
unnam		unnam			unnam
unnamay		unnamay			unnamay
unnāmay		unnāmay			unnāmay
unnatīkṛ		unnatīkṛ			unnatīkṛ
unnī		unnī			unnī
upabandh		bandh		upa	bandh
upabhakṣ		bhakṣ		upa	bhakṣ
upabhojay		bhojay		upa	bhojay
upabhṛ		bhṛ		upa	bhṛ
upabhuj		bhuj		upa	bhuj
upabṛṃhay		bṛṃhay		upa	bṛṃhay
upabrū		brū		upa	brū
upacar		car		upa	car
upācar		upācar			upācar
upacāray		cāray		upa	cāray
upacchad		cchad		upa	cchad
upaci		ci		upa	ci
upacintay		cintay		upa	cintay
upadā		dā		upa	dā
upādā		upādā			upādā
upadah		dah		upa	dah
upadarśay		darśay		upa	darśay
upadeśay		deśay		upa	deśay
upadhā		dhā		upa	dhā
upādhā		upādhā			upādhā
upadham		dham		upa	dham
upādham		upādham			upādham
upadhānīkṛ		dhānīkṛ		upa	dhānīkṛ
upadhāray		dhāray		upa	dhāray
upaḍhaukay		ḍhaukay		upa	ḍhaukay
upadhāv		dhāv		upa	dhāv
upādhāv		upādhāv			upādhāv
upadhvaṃs		dhvaṃs		upa	dhvaṃs
upadih		dih		upa	dih
upadīpay		dīpay		upa	dīpay
upadiś		diç		upa	diç
upādiś		upādiś			upādiś
upadṛś		dṛç		upa	dṛç
upadru		dru		upa	dru
upagam		gam		upa	gam
upāgam		upāgam			upāgam
upagamay		gamay		upa	gamay
upagaṇay		gaṇay		upa	gaṇay
upaghātay		ghātay		upa	ghātay
upaghrā		ghrā		upa	ghrā
upāghrā		upāghrā			upāghrā
upaghuṣ		ghuṣ		upa	ghuṣ
upagrah		grah		upa	grah
upaguh		guh		upa	guh
upagūhay		gūhay		upa	gūhay
upahan		han		upa	han
upāhan		upāhan			upāhan
upahāray		hāray		upa	hāray
upahas		has		upa	has
upahāsay		hāsay		upa	hāsay
upahiṃs		hiṃs		upa	hiṃs
upahṛ		hṛ		upa	hṛ
upāhṛ		upāhṛ			upāhṛ
upahu		hu		upa	hu
upahvā		hu		upah	hu
upāhvā		upāhvā			upāhvā
upajalp		jalp		upa	jalp
upajan		jan		upa	jan
upajanay		janay		upa	janay
upajap		jap		upa	jap
upajāpay		jāpay		upa	jāpay
upajīv		jīv		upa	jīv
upajīvay		jīvay		upa	jīvay
upakalpay		kalpay		upa	kalpay
upakaraṇīkṛ		karaṇīkṛ		upa	karaṇīkṛ
upakāray		kāray		upa	kāray
upakleśay		kleśay		upa	kleśay
upaklid		klid		upa	klid
upakliś		kliç		upa	kliç
upak�p		k�p		upa	k�p
upākṛ		upākṛ			upākṛ
upakram		kram		upa	kram
upākram		upākram			upākram
upakrī		krī		upa	krī
upakrīḍ		krīḍ		upa	krīḍ
upakṛt		kṛt		upa	kṛt
upakruś		kruç		upa	kruç
upakṣi		kṣi		upa	kṣi
upakṣip		kṣip		upa	kṣip
upakuḍ		kuḍ		upa	kuḍ
upakūj		kūj		upa	kūj
upalabh		labh		upa	labh
upālabh		upālabh			upālabh
upālakṣ		upālakṣ			upālakṣ
upalakṣay		lakṣay		upa	lakṣay
upalālay		lālay		upa	lālay
upalepay		lepay		upa	lepay
upalip		lip		upa	lip
upamā		mā		upa	mā
upamarṣay		marṣay		upa	marṣay
upamath		math		upa	math
upamṛd		mṛd		upa	mṛd
upanāday		nāday		upa	nāday
upanah		nah		upa	nah
upanāhay		nāhay		upa	nāhay
upanam		nam		upa	nam
upanāmay		nāmay		upa	nāmay
upanāyay		nāyay		upa	nāyay
upanī		nī		upa	nī
upānī		upānī			upānī
upanibandh		bandh		upani	bandh
upanidhā		dhā		upani	dhā
upanikṣip		kṣip		upani	kṣip
upanipat		pat		upani	pat
upanipīḍay		pīḍay		upani	pīḍay
upanirdiś		rdiś		upani	rdiś
upanirvartay		rvartay		upani	rvartay
upaniśāmay		śāmay		upani	śāmay
upaniṣev		ṣev		upani	ṣev
upaniṣkram		ṣkram		upani	ṣkram
upanivartay		vartay		upani	vartay
upaniveśay		veśay		upani	veśay
upaniviś		viç		upani	viç
upanivṛt		vṛt		upani	vṛt
upanṛt		nṛt		upa	nṛt
upanud		nud		upa	nud
upānvāruh		upānvāruh			upānvāruh
upanyas		as		upany	as
upapad		pad		upa	pad
upapāday		pāday		upa	pāday
upapātay		pātay		upa	pātay
upapīḍay		pīḍay		upa	pīḍay
upaplu		plu		upa	plu
upapracch		cch		upapra	cch
upaprapad		pad		upapra	pad
upaprekṣ		prekṣ		upa	prekṣ
uparacay		racay		upa	racay
upārādh		upārādh			upārādh
uparam		ram		upa	ram
upāram		upāram			upāram
uparañj		rañj		upa	rañj
uparañjay		rañjay		upa	rañjay
uparinidhā		rinidhā		upa	rinidhā
upārjay		upārjay			upārjay
uparodhay		rodhay		upa	rodhay
uparohay		rohay		upa	rohay
uparopay		ropay		upa	ropay
upāropay		upāropay			upāropay
uparudh		rudh		upa	rudh
uparuh		ruh		upa	ruh
upāruh		upāruh			upāruh
upasad		sad		upa	sad
upāsad		upāsad			upāsad
upasāday		sāday		upa	sāday
upasādhay		sādhay		upa	sādhay
upaśam		çam		upa	çam
upasamādhā		dhā		upasamā	dhā
upasamākṛ		kṛ		upasamā	kṛ
upaśamay		śamay		upa	śamay
upaśāmay		śāmay		upa	śāmay
upasaṃbhṛ		bhṛ		upasaṃ	bhṛ
upasaṃbhram		bhram		upasaṃ	bhram
upasaṃdhā		dhā		upasaṃ	dhā
upasame		e		upasam	e
upasaṃgam		gam		upasaṃ	gam
upasaṃghuṣ		ghuṣ		upasaṃ	ghuṣ
upasaṃgrah		grah		upasaṃ	grah
upasaṃhṛ		hṛ		upasaṃ	hṛ
upasaṃkram		kram		upasaṃ	kram
upasaṃmṛj		mṛj		upasaṃ	mṛj
upasaṃnyāsay		say		upasaṃnyā	say
upasaṃpad		pad		upasaṃ	pad
upasaṃprach		prach		upasaṃ	prach
upasaṃprāp		p		upasaṃprā	p
upasaṃruh		ruh		upasaṃ	ruh
upasaṃskṛ		skṛ		upasaṃ	skṛ
upasaṃśri		çri		upasaṃ	çri
upasaṃsṛj		sṛj		upasaṃ	sṛj
upasaṃveśay		veśay		upasaṃ	veśay
upasaṃvraj		vraj		upasaṃ	vraj
upasaṃyam		yam		upasaṃ	yam
upasaṃyu		yu		upasaṃ	yu
upasaṃyuj		yuj		upasaṃ	yuj
upaśaṅk		çaṅk		upa	çaṅk
upasarpay		rpay		upasa	rpay
upasev		sev		upa	sev
upasevay		sevay		upa	sevay
upaśī		çī		upa	çī
upasic		sic		upa	sic
upaśikṣ		çikṣ		upa	çikṣ
upaskhal		skhal		upa	skhal
upaskṛ		skṛ		upa	skṛ
upaśleṣay		śleṣay		upa	śleṣay
upaśliṣ		çliṣ		upa	çliṣ
upāśliṣ		upāśliṣ			upāśliṣ
upasnehay		snehay		upa	snehay
upasnih		snih		upa	snih
upaśobhay		śobhay		upa	śobhay
upaśoṣay		śoṣay		upa	śoṣay
upasparśay		sparśay		upa	sparśay
upaspṛś		spṛç		upa	spṛç
upāspṛś		upāspṛś			upāspṛś
upasṛ		sṛ		upa	sṛ
upaśri		çri		upa	çri
upāśri		upāśri			upāśri
upasṛj		sṛj		upa	sṛj
upasṛp		sṛp		upa	sṛp
upaśru		çru		upa	çru
upastambh		stambh		upa	stambh
upastambhay		stambhay		upa	stambhay
upasthā		sthā		upa	sthā
upāsthā		upāsthā			upāsthā
upasthāpay		sthāpay		upa	sthāpay
upastṛ		stṛ		upa	stṛ
upāstṛ		upāstṛ			upāstṛ
upaśubh		çubh		upa	çubh
upaśuṣ		çuṣ		upa	çuṣ
upasveday		sveday		upa	sveday
upasvid		svid		upa	svid
upatap		tap		upa	tap
upatāpay		tāpay		upa	tāpay
upātigam		upātigam			upātigam
upatuṣ		tuṣ		upa	tuṣ
upavā		vā		upa	vā
upavad		vad		upa	vad
upavah		vah		upa	vah
upavañc		vañc		upa	vañc
upavarjay		varjay		upa	varjay
upāvartay		upāvartay			upāvartay
upavas		vas		upa	vas
upāvas		upāvas			upāvas
upavāsay		vāsay		upa	vāsay
upāvasthā		upāvasthā			upāvasthā
upaveśay		veśay		upa	veśay
upaveṣṭay		veṣṭay		upa	veṣṭay
upavīj		vīj		upa	vīj
upavījay		vījay		upa	vījay
upaviś		viç		upa	viç
upāviś		upāviś			upāviś
upavraj		vraj		upa	vraj
upavṛt		vṛt		upa	vṛt
upāvṛt		upāvṛt			upāvṛt
upavyadh		vyadh		upa	vyadh
